==27356== NVPROF is profiling process 27356, command: ./build_bs_256/external_forces
==27356== Warning: Unified Memory Profiling is not supported on devices of compute capability less than 3.0
==27356== Profiling application: ./build_bs_256/external_forces
==27356== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
331.527394,23.232000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1243]"
331.552044,24.088000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1251]"
331.577552,24.155000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1259]"
331.603119,24.312000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1267]"
331.628843,24.471000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1275]"
331.654719,22.271000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1283]"
331.678411,22.074000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1291]"
331.701904,24.120000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1299]"
331.727443,23.444000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1307]"
331.752309,22.976000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1315]"
331.776691,21.972000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1323]"
331.800083,23.505000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1331]"
331.824998,23.384000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1339]"
331.849788,23.345000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1347]"
331.874539,22.606000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1355]"
331.898566,23.296000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1363]"
331.923282,24.276000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1371]"
331.948968,23.524000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1379]"
331.973918,22.038000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1387]"
331.997362,23.545000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1395]"
332.022319,23.542000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [1403]"
